Simulator Parameters:
Command line = -b 200 -fs 5 -monitor GradingMonitor -pf long.pass
RandomSeed = 1449526030229
CanNetworkBitTime = 5000 ns
Effective Can Bitrate = 199999.99999999997
Run Time = null
Real time rate = null
Acceptance Test File = long.pass
Monitors: GradingMonitor  


[Elevator] @0.000000000: Starting Simulation
[Elevator] @60.000000000: Progress indicator
[Elevator] @120.000000000: Progress indicator
[Elevator] @180.000000000: Progress indicator
[Elevator] @240.000000000: Progress indicator
[Elevator] @300.000000000: Progress indicator
[Elevator] @360.000000000: Progress indicator
[Elevator] @420.000000000: Progress indicator
[Elevator] @480.000000000: Progress indicator
[Elevator] @540.000000000: Progress indicator
[Elevator] @600.000000000: Progress indicator
[Elevator] @660.000000000: Progress indicator
[Elevator] @720.000000000: Progress indicator
[Elevator] @780.000000000: Progress indicator
[Elevator] @840.000000000: Progress indicator
[Elevator] @900.000000000: Progress indicator
[Elevator] @960.000000000: Progress indicator
[Elevator] @1020.000000000: Progress indicator
[Elevator] @1080.000000000: Progress indicator
[Elevator] @1140.000000000: Progress indicator
[Elevator] @1200.000000000: Progress indicator
[Elevator] @1260.000000000: Progress indicator
[Elevator] @1320.000000000: Progress indicator
[Elevator] @1380.000000000: Progress indicator
[Elevator] @1440.000000000: Progress indicator
[Elevator] @1500.000000000: Progress indicator
[Elevator] @1560.000000000: Progress indicator
[Elevator] @1620.000000000: Progress indicator
[Elevator] @1680.000000000: Progress indicator
[Elevator] @1740.000000000: Progress indicator
[Elevator] @1800.000000000: Progress indicator
[Elevator] @1860.000000000: Progress indicator
[Elevator] @1920.000000000: Progress indicator
[Elevator] @1980.000000000: Progress indicator
[Elevator] @2040.000000000: Progress indicator
[Elevator] @2100.000000000: Progress indicator
[Elevator] @2160.000000000: Progress indicator
[Elevator] @2220.000000000: Progress indicator
[Elevator] @2280.000000000: Progress indicator
[Elevator] @2340.000000000: Progress indicator
[Elevator] @2400.000000000: Progress indicator
[Elevator] @2460.000000000: Progress indicator
[Elevator] @2520.000000000: Progress indicator
[Elevator] @2580.000000000: Progress indicator
[Elevator] @2640.000000000: Progress indicator
[Elevator] @2700.000000000: Progress indicator
[Elevator] @2760.000000000: Progress indicator
[Elevator] @2820.000000000: Progress indicator
[Elevator] @2880.000000000: Progress indicator
[Elevator] @2940.000000000: Progress indicator
[Elevator] @3000.000000000: Progress indicator
[Elevator] @3060.000000000: Progress indicator
[Elevator] @3120.000000000: Progress indicator
[Elevator] @3180.000000000: Progress indicator
[Elevator] @3240.000000000: Progress indicator
[Elevator] @3300.000000000: Progress indicator
[Elevator] @3360.000000000: Progress indicator
[Elevator] @3420.000000000: Progress indicator
[Elevator] @3480.000000000: Progress indicator
[Elevator] @3540.000000000: Progress indicator
[Elevator] @3600.000000000: Progress indicator
[Elevator] @3660.000000000: Progress indicator
[Elevator] @3720.000000000: Progress indicator
[Elevator] @3780.000000000: Progress indicator
[Elevator] @3840.000000000: Progress indicator
[Elevator] @3900.000000000: Progress indicator
[Elevator] @3960.000000000: Progress indicator
[Elevator] @4020.000000000: Progress indicator
[Elevator] @4080.000000000: Progress indicator
[Elevator] @4140.000000000: Progress indicator
[Elevator] @4200.000000000: Progress indicator
[Elevator] @4260.000000000: Progress indicator
[Elevator] @4320.000000000: Progress indicator
[Elevator] @4380.000000000: Progress indicator
[Elevator] @4440.000000000: Progress indicator
[Elevator] @4500.000000000: Progress indicator
[Elevator] @4560.000000000: Progress indicator
[Elevator] @4620.000000000: Progress indicator
[Elevator] @4680.000000000: Progress indicator
[Elevator] @4740.000000000: Progress indicator
[Elevator] @4800.000000000: Progress indicator
[Elevator] @4860.000000000: Progress indicator
[Elevator] @4920.000000000: Progress indicator
[Elevator] @4980.000000000: Progress indicator
[Elevator] @5040.000000000: Progress indicator
[Elevator] @5100.000000000: Progress indicator
[Elevator] @5160.000000000: Progress indicator
[Elevator] @5220.000000000: Progress indicator
[Elevator] @5280.000000000: Progress indicator
[Elevator] @5340.000000000: Progress indicator
[Elevator] @5400.000000000: Progress indicator
[Elevator] @5460.000000000: Progress indicator
[Elevator] @5520.000000000: Progress indicator
[Elevator] @5580.000000000: Progress indicator
[Elevator] @5640.000000000: Progress indicator
[Elevator] @5700.000000000: Progress indicator
[Elevator] @5760.000000000: Progress indicator
[Elevator] @5820.000000000: Progress indicator
[Elevator] @5880.000000000: Progress indicator
[Elevator] @5940.000000000: Progress indicator
[Elevator] @6000.000000000: Progress indicator
[Elevator] @6060.000000000: Progress indicator
[Elevator] @6120.000000000: Progress indicator
[Elevator] @6180.000000000: Progress indicator
[Elevator] @6240.000000000: Progress indicator
[Elevator] @6300.000000000: Progress indicator
[Elevator] @6360.000000000: Progress indicator
[Elevator] @6420.000000000: Progress indicator
[Elevator] @6480.000000000: Progress indicator
[Elevator] @6540.000000000: Progress indicator
[Elevator] @6600.000000000: Progress indicator
[Elevator] @6660.000000000: Progress indicator
[Elevator] @6720.000000000: Progress indicator
[Elevator] @6780.000000000: Progress indicator
[Elevator] @6840.000000000: Progress indicator
[Elevator] @6900.000000000: Progress indicator
[Elevator] @6960.000000000: Progress indicator
[Elevator] @7020.000000000: Progress indicator
[Elevator] @7080.000000000: Progress indicator
[Elevator] @7140.000000000: Progress indicator
[Elevator] @7200.000000000: Progress indicator
[Elevator] @7260.000000000: Progress indicator
[Elevator] @7320.000000000: Progress indicator
[Elevator] @7380.000000000: Progress indicator
[Elevator] @7440.000000000: Progress indicator
[Elevator] @7500.000000000: Progress indicator
[Elevator] @7560.000000000: Progress indicator
[Elevator] @7620.000000000: Progress indicator
[Elevator] @7680.000000000: Progress indicator
[Elevator] @7740.000000000: Progress indicator
[Elevator] @7800.000000000: Progress indicator
[Elevator] @7860.000000000: Progress indicator
[Elevator] @7920.000000000: Progress indicator
[Elevator] @7980.000000000: Progress indicator
[Elevator] @8040.000000000: Progress indicator
[Elevator] @8100.000000000: Progress indicator
[Elevator] @8160.000000000: Progress indicator
[Elevator] @8220.000000000: Progress indicator
[Elevator] @8280.000000000: Progress indicator
[Elevator] @8340.000000000: Progress indicator
[Elevator] @8400.000000000: Progress indicator
[Elevator] @8460.000000000: Progress indicator
[Elevator] @8520.000000000: Progress indicator
[Elevator] @8580.000000000: Progress indicator
[Elevator] @8640.000000000: Progress indicator
[Elevator] @8700.000000000: Progress indicator
[Elevator] @8760.000000000: Progress indicator
[Elevator] @8820.000000000: Progress indicator
[Elevator] @8880.000000000: Progress indicator
[Elevator] @8940.000000000: Progress indicator
[Elevator] @9000.000000000: Progress indicator
[Elevator] @9060.000000000: Progress indicator
[Elevator] @9120.000000000: Progress indicator
[Elevator] @9180.000000000: Progress indicator
[Elevator] @9240.000000000: Progress indicator
[Elevator] @9300.000000000: Progress indicator
[Elevator] @9360.000000000: Progress indicator
[Elevator] @9420.000000000: Progress indicator
[Elevator] @9480.000000000: Progress indicator
[Elevator] @9540.000000000: Progress indicator
[Elevator] @9600.000000000: Progress indicator
[Elevator] @9660.000000000: Progress indicator
[Elevator] @9720.000000000: Progress indicator
[Elevator] @9780.000000000: Progress indicator
[Elevator] @9840.000000000: Progress indicator
[Elevator] @9900.000000000: Progress indicator
[Elevator] @9960.000000000: Progress indicator
[Elevator] @10020.000000000: Progress indicator
[Elevator] @10080.000000000: Progress indicator
[Elevator] @10140.000000000: Progress indicator
[Elevator] @10200.000000000: Progress indicator
[Elevator] @10260.000000000: Progress indicator
[Elevator] @10320.000000000: Progress indicator
[Elevator] @10380.000000000: Progress indicator
[Elevator] @10440.000000000: Progress indicator
[Elevator] @10500.000000000: Progress indicator
[Elevator] @10560.000000000: Progress indicator
[Elevator] @10620.000000000: Progress indicator
[Elevator] @10680.000000000: Progress indicator
[Elevator] @10740.000000000: Progress indicator
[Elevator] @10800.000000000: Progress indicator
[Elevator] @10860.000000000: Progress indicator
